2026-03-12 21:05:48.984 | DEBUG    | stepsister.orchestrator.engine:_init_algorithms:144 - Step Sister: Initialised algorithm: fx_xgboost_hft
2026-03-12 21:05:48.984 | INFO     | stepsister.orchestrator.engine:start:117 - Step Sister active instruments: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCHF', 'AUDUSD', 'USDCAD', 'NZDUSD', 'EURGBP', 'EURJPY', 'GBPJPY']
2026-03-12 21:05:55.191 | INFO     | klaus.regime.hmm_detector:fit:101 - HMM fitted on 480 observations. Labels: {2: <Regime.TRENDING: 1>, 0: <Regime.MEAN_REVERTING: 2>, 1: <Regime.VOLATILE: 3>}
2026-03-12 21:05:55.200 | INFO     | stepsister.orchestrator.engine:_process_instrument:203 - Step Sister Signal: EURUSD LONG strength=0.422 algo=fx_bollinger regime=MEAN_REVERTING
2026-03-12 21:06:01.695 | INFO     | klaus.regime.hmm_detector:fit:101 - HMM fitted on 480 observations. Labels: {0: <Regime.TRENDING: 1>, 2: <Regime.MEAN_REVERTING: 2>, 1: <Regime.VOLATILE: 3>}
2026-03-12 21:06:01.704 | DEBUG    | stepsister.orchestrator.engine:get_algorithms:60 - No FX algorithms for GBPUSD in VOLATILE regime
2026-03-12 21:06:08.072 | INFO     | klaus.regime.hmm_detector:fit:101 - HMM fitted on 480 observations. Labels: {1: <Regime.TRENDING: 1>, 2: <Regime.MEAN_REVERTING: 2>, 0: <Regime.VOLATILE: 3>}
2026-03-12 21:06:19.117 | INFO     | klaus.regime.hmm_detector:fit:101 - HMM fitted on 480 observations. Labels: {2: <Regime.TRENDING: 1>, 0: <Regime.MEAN_REVERTING: 2>, 1: <Regime.VOLATILE: 3>}
2026-03-12 21:06:19.124 | INFO     | stepsister.orchestrator.engine:_process_instrument:203 - Step Sister Signal: USDCHF SHORT strength=0.806 algo=fx_bollinger regime=MEAN_REVERTING
2026-03-12 21:06:19.125 | INFO     | stepsister.orchestrator.engine:_process_instrument:203 - Step Sister Signal: USDCHF SHORT strength=0.562 algo=fx_zscore regime=MEAN_REVERTING
2026-03-12 21:06:25.238 | INFO     | klaus.regime.hmm_detector:fit:101 - HMM fitted on 480 observations. Labels: {2: <Regime.TRENDING: 1>, 0: <Regime.MEAN_REVERTING: 2>, 1: <Regime.VOLATILE: 3>}
2026-03-12 21:06:25.246 | INFO     | stepsister.orchestrator.engine:_process_instrument:203 - Step Sister Signal: AUDUSD LONG strength=0.600 algo=carry_trade regime=MEAN_REVERTING
2026-03-12 21:06:31.735 | INFO     | klaus.regime.hmm_detector:fit:101 - HMM fitted on 480 observations. Labels: {2: <Regime.TRENDING: 1>, 1: <Regime.MEAN_REVERTING: 2>, 0: <Regime.VOLATILE: 3>}
2026-03-12 21:06:31.742 | INFO     | stepsister.orchestrator.engine:_process_instrument:203 - Step Sister Signal: USDCAD SHORT strength=1.000 algo=fx_bollinger regime=MEAN_REVERTING
2026-03-12 21:06:31.743 | INFO     | stepsister.orchestrator.engine:_process_instrument:203 - Step Sister Signal: USDCAD SHORT strength=1.000 algo=fx_zscore regime=MEAN_REVERTING
